# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	38261	38617	-	PIM95248.1			30S ribosomal protein S11	rpsK		magsep_154	357	118	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	39447	40016	-					rpsE		magsep_155	570		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	39447	40016	-	PIM95249.1			30S ribosomal protein S5	rpsE		magsep_155	570	189	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	40723	41085	-					rpsH		magsep_156	363		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	40723	41085	-	PIM95250.1			30S ribosomal protein S8	rpsH		magsep_156	363	120	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	41100	41405	-					rpsN		magsep_157	306		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant25	CM008747.1	41100	41405	-	PIM95251.1			30S ribosomal subunit protein S14	rpsN		magsep_157	306	101	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	9900	11042	+					fbcH		magsep_158	1143		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	9900	11042	+	PIM95224.1			cytochrome b	fbcH		magsep_158	1143	380	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	12662	13102	-					ctaE		magsep_159	441		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	12662	13102	-	PIM95225.1			Cytochrome c oxidase subunit 3	ctaE		magsep_159	441	146	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	13129	13659	-					ctaG		magsep_160	531		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	13129	13659	-	PIM95226.1			Cytochrome c oxidase assembly protein CtaG	ctaG		magsep_160	531	176	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	13662	15299	-					ctaD		magsep_161	1638		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	13662	15299	-	PIM95227.1			cytochrome c oxidase subunit 1	ctaD		magsep_161	1638	545	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	15289	16071	-					ctaC		magsep_162	783		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	15289	16071	-	PIM95228.1			cytochrome c oxidase subunit 2	ctaC		magsep_162	783	260	
gene	tRNA	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	20440	20511	+					tRNA-Val		magsep_163	72		
tRNA		GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	20440	20511	+				tRNA-Val	tRNA-Val		magsep_163	72		
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	22266	23072	-					fpr		magsep_164	807		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	22266	23072	-	PIM95229.1			Ferredoxin--NADP reductase	fpr		magsep_164	807	268	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	23094	24596	-					cysI		magsep_165	1503		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	23094	24596	-	PIM95230.1			Sulfite reductase [NADPH] hemoprotein beta-component	cysI		magsep_165	1503	500	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	28509	29249	+					etfB		magsep_166	741		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	28509	29249	+	PIM95231.1			Electron transfer flavoprotein small subunit	etfB		magsep_166	741	246	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	29684	30766	+					etfA		magsep_167	1083		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	29684	30766	+	PIM95232.1			Electron transfer flavoprotein large subunit	etfA		magsep_167	1083	360	
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	31649	33062	+							magsep_168	1414		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant26	CM008748.1	31649	33062	+				16S ribosomal RNA			magsep_168	1414		
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	4716	5225	+					cobI		magsep_169	510		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	4716	5225	+	PIM95219.1			Precorrin-2 C(20)-methyltransferase	cobI		magsep_169	510	169	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	11061	11564	+					clpP		magsep_170	504		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	11061	11564	+	PIM95220.1			ATP-dependent Clp protease proteolytic subunit precursor	clpP		magsep_170	504	167	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	11634	12614	+					ribD		magsep_171	981		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	11634	12614	+	PIM95221.1			Riboflavin biosynthesis protein RibD	ribD		magsep_171	981	326	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	16753	17400	+					hisE		magsep_172	648		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	16753	17400	+	PIM95222.1			Phosphoribosyl-ATP pyrophosphatase	hisE		magsep_172	648	215	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	28845	29327	+					cobO		magsep_173	483		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant27	CM008749.1	28845	29327	+	PIM95223.1			putative cob(I)alamin adenosyltransferase	cobO		magsep_173	483	160	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	279	854	+					dnaQ		magsep_174	576		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	279	854	+	PIM95213.1			DNA polymerase III subunit epsilon	dnaQ		magsep_174	576	191	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	1829	2683	-					cobD		magsep_175	855		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	1829	2683	-	PIM95214.1			cobalamin biosynthesis protein	cobD		magsep_175	855	284	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	11344	15093	+					rpoB		magsep_176	3750		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	11344	15093	+	PIM95215.1			DNA-directed RNA polymerase subunit beta	rpoB		magsep_176	3750	1249	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	15096	19115	+					rpoC		magsep_177	4020		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	15096	19115	+	PIM95216.1			DNA-directed RNA polymerase subunit beta'	rpoC		magsep_177	4020	1339	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	20068	20706	-					cobB1		magsep_178	639		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	20068	20706	-	PIM95217.1			Hydrogenobyrinate a,c-diamide synthase	cobB1		magsep_178	639	212	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	27598	28452	+					cobD		magsep_179	855		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant28	CM008750.1	27598	28452	+	PIM95218.1			cobalamin biosynthesis protein	cobD		magsep_179	855	284	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	5686	6330	+					hisE		magsep_180	645		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	5686	6330	+	PIM95209.1			Phosphoribosyl-ATP pyrophosphatase	hisE		magsep_180	645	214	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	8384	8644	+					infA		magsep_181	261		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	8384	8644	+	PIM95210.1			Translation initiation factor IF-1	infA		magsep_181	261	86	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	16737	17918	+					metC		magsep_182	1182		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant29	CM008751.1	16737	17918	+	PIM95211.1			cystathionine beta-lyase	metC		magsep_182	1182	393	
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	7791	9344	+							magsep_183	1554		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	7791	9344	+				16S ribosomal RNA			magsep_183	1554		
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	9813	12396	+							magsep_184	2584		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	9813	12396	+				23S ribosomal RNA			magsep_184	2584		
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	12477	12572	+							magsep_185	96		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	12477	12572	+				5S ribosomal RNA			magsep_185	96		
gene	tRNA	GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	12598	12671	+					tRNA-Met		magsep_186	74		
tRNA		GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	12598	12671	+				tRNA-Met	tRNA-Met		magsep_186	74		
gene	tRNA	GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	14616	14689	+					tRNA-Pro		magsep_187	74		
tRNA		GCA_002774935.1	Primary Assembly	chromosome	variant30	CM008753.1	14616	14689	+				tRNA-Pro	tRNA-Pro		magsep_187	74		
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	11396	12364	-					cobD		magsep_188	969		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	11396	12364	-	PIM95207.1			cobalamin biosynthesis protein	cobD		magsep_188	969	322	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	15275	15679	-					ribH		magsep_189	405		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	15275	15679	-	PIM95208.1			6,7-dimethyl-8-ribityllumazine synthase	ribH		magsep_189	405	134	
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	17376	17475	-							magsep_190	100		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	17376	17475	-				5S ribosomal RNA			magsep_190	100		
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	17529	20111	-							magsep_191	2583		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	17529	20111	-				23S ribosomal RNA			magsep_191	2583		
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	20390	21894	-							magsep_192	1505		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant31	CM008754.1	20390	21894	-				16S ribosomal RNA			magsep_192	1505		
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	4505	5380	-					fpr		magsep_193	876		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	4505	5380	-	PIM95203.1			Ferredoxin--NADP reductase	fpr		magsep_193	876	291	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	6152	7081	-					ribD		magsep_194	930		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	6152	7081	-	PIM95204.1			Riboflavin biosynthesis protein RibD	ribD		magsep_194	930	309	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	15859	17307	-					cobQ		magsep_195	1449		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	15859	17307	-	PIM95205.1			Cobyric acid synthase	cobQ		magsep_195	1449	482	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	18727	19743	-							magsep_196	1017		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant32	CM008755.1	18727	19743	-	PIM95206.1			hypothetical protein			magsep_196	1017	338	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	6077	6628	+					fpr		magsep_197	552		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	6077	6628	+	PIM95199.1			Ferredoxin--NADP reductase	fpr		magsep_197	552	183	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	8125	8349	-					rpsP		magsep_198	225		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	8125	8349	-	PIM95200.1			30S ribosomal protein S16	rpsP		magsep_198	225	74	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	15909	16229	+					fdxA		magsep_199	321		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	15909	16229	+	PIM95201.1			Ferredoxin II	fdxA		magsep_199	321	106	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	18149	18928	+					ctaC		magsep_200	780		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant33	CM008756.1	18149	18928	+	PIM95202.1			cytochrome c oxidase subunit 2	ctaC		magsep_200	780	259	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	8127	8351	-					rpsP		magsep_201	225		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	8127	8351	-	PIM95196.1			30S ribosomal protein S16	rpsP		magsep_201	225	74	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	15906	16280	+					fdxA		magsep_202	375		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	15906	16280	+	PIM95197.1			Ferredoxin II	fdxA		magsep_202	375	124	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	18147	18926	+					ctaC		magsep_203	780		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant34	CM008757.1	18147	18926	+	PIM95198.1			cytochrome c oxidase subunit 2	ctaC		magsep_203	780	259	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	2702	3046	-					rpsM		magsep_204	345		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	2702	3046	-	PIM95193.1			30S ribosomal protein S13	rpsM		magsep_204	345	114	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	4314	4805	-					rplF		magsep_205	492		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	4314	4805	-	PIM95194.1			50S ribosomal protein L6	rplF		magsep_205	492	163	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	6032	6205	-					rplX		magsep_206	174		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant35	CM008758.1	6032	6205	-	PIM95195.1			50S ribosomal protein L24	rplX		magsep_206	174	57	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	4139	5197	+							magsep_207	1059		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	4139	5197	+	PIM95190.1			hypothetical protein			magsep_207	1059	352	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	11010	11183	+					rplX		magsep_208	174		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	11010	11183	+	PIM95191.1			50S ribosomal protein L24	rplX		magsep_208	174	57	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	14171	14515	+					rpsM		magsep_209	345		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant36	CM008759.1	14171	14515	+	PIM95192.1			30S ribosomal protein S13	rpsM		magsep_209	345	114	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	6912	7715	+					rplB		magsep_210	804		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	6912	7715	+	PIM95184.1			50S ribosomal subunit protein L2	rplB		magsep_210	804	267	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	7976	8320	+					rplV		magsep_211	345		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	7976	8320	+	PIM95185.1			50S Ribosomal protein L22p/L17e	rplV		magsep_211	345	114	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	8304	8927	+					rpsC		magsep_212	624		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	8304	8927	+	PIM95186.1			30S ribosomal protein S3	rpsC		magsep_212	624	207	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	9544	9897	-					smpB		magsep_214	354		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	9544	9897	-	PIM95188.1			SsrA-binding protein	smpB		magsep_214	354	117	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	9590	9925	+					rplN		magsep_213	336		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	9590	9925	+	PIM95187.1			50S ribosomal protein L14	rplN		magsep_213	336	111	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	13119	13463	+					rpsM		magsep_215	345		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant37	CM008760.1	13119	13463	+	PIM95189.1			30S ribosomal protein S13	rpsM		magsep_215	345	114	
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	467	3173	+							magsep_216	2707		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	467	3173	+				23S ribosomal RNA			magsep_216	2707		
gene	rRNA	GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	3227	3328	+							magsep_217	102		
rRNA		GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	3227	3328	+				5S ribosomal RNA			magsep_217	102		
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	3835	4683	+					fpr		magsep_218	849		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant38	CM008761.1	3835	4683	+	PIM95176.1			Ferredoxin--NADP reductase	fpr		magsep_218	849	282	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant39	CM008762.1	1204	1779	+					dnaQ		magsep_219	576		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant39	CM008762.1	1204	1779	+	PIM95160.1			DNA polymerase III subunit epsilon	dnaQ		magsep_219	576	191	
gene	protein_coding	GCA_002774935.1	Primary Assembly	chromosome	variant39	CM008762.1	2753	3607	-					cobD		magsep_220	855		
CDS	with_protein	GCA_002774935.1	Primary Assembly	chromosome	variant39	CM008762.1	2753	3607	-	PIM95161.1			cobalamin biosynthesis protein	cobD		magsep_220	855	284	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	3666	4370	-					cobA		magsep_223	705		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	3666	4370	-	PIM95106.1			putative uroporphyrin-III c-methyltransferase	cobA		magsep_223	705	234	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	12329	16387	-					rpoC		magsep_224	4059		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	12329	16387	-	PIM95107.1			DNA-directed RNA polymerase subunit beta'	rpoC		magsep_224	4059	1352	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	16391	20116	-					rpoB		magsep_225	3726		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	16391	20116	-	PIM95108.1			DNA-directed RNA polymerase subunit beta	rpoB		magsep_225	3726	1241	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	20255	21307	-					gatB		magsep_226	1053		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	20255	21307	-	PIM95109.1			Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	gatB		magsep_226	1053	350	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	32598	33539	-					metF		magsep_227	942		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	32598	33539	-	PIM95110.1			5,10-methylenetetrahydrofolate reductase	metF		magsep_227	942	313	
gene	rRNA	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	45997	46093	-							magsep_228	97		
rRNA		GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	45997	46093	-				5S ribosomal RNA			magsep_228	97		
gene	rRNA	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	46145	48850	-							magsep_229	2706		
rRNA		GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	46145	48850	-				23S ribosomal RNA			magsep_229	2706		
gene	rRNA	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	49013	50522	-							magsep_230	1510		
rRNA		GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	49013	50522	-				16S ribosomal RNA			magsep_230	1510		
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	53454	54806	-					glyA		magsep_231	1353		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000045.1	53454	54806	-	PIM95111.1			Serine hydroxymethyltransferase	glyA		magsep_231	1353	450	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000043.1	27	971	-					pcobS		magsep_222	945		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000043.1	27	971	-	PIM95124.1			Cobalamin biosynthesis protein CobS	pcobS		magsep_222	945	314	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000047.1	3063	4574	-					etfD		magsep_232	1512		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000047.1	3063	4574	-	PIM95087.1			Electron transfer flavoprotein-ubiquinone oxidoreductase	etfD		magsep_232	1512	503	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	342	881	+					ctaG		magsep_233	540		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	342	881	+	PIM95080.1			Cytochrome c oxidase assembly protein CtaG	ctaG		magsep_233	540	179	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	908	1348	+					ctaE		magsep_234	441		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	908	1348	+	PIM95081.1			Cytochrome c oxidase subunit 3	ctaE		magsep_234	441	146	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	1350	1820	-					rpsD		magsep_235	471		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	1350	1820	-	PIM95082.1			30S ribosomal subunit protein S4	rpsD		magsep_235	471	156	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	2972	4114	-					fbcH		magsep_236	1143		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000048.1	2972	4114	-	PIM95083.1			cytochrome b	fbcH		magsep_236	1143	380	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000055.1	85	708	-					rpsD		magsep_237	624		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000055.1	85	708	-	PIM95060.1			30S ribosomal subunit protein S4	rpsD		magsep_237	624	207	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000056.1	263	1213	-					metF		magsep_238	951		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000056.1	263	1213	-	PIM95056.1			5,10-methylenetetrahydrofolate reductase	metF		magsep_238	951	316	
gene	rRNA	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000059.1	45	2759	-							magsep_239	2715		
rRNA		GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000059.1	45	2759	-				23S ribosomal RNA			magsep_239	2715		
gene	rRNA	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000059.1	3097	4651	-							magsep_240	1555		
rRNA		GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000059.1	3097	4651	-				16S ribosomal RNA			magsep_240	1555		
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000061.1	246	1496	-					rpoD		magsep_241	1251		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000061.1	246	1496	-	PIM95019.1			RNA polymerase sigma factor rpoD	rpoD		magsep_241	1251	416	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	6859	7140	-					rpmB		magsep_261	282		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	6859	7140	-	PIM94928.1			50S ribosomal protein L28	rpmB		magsep_261	282	93	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	12189	12746	-					dnaQ		magsep_262	558		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	12189	12746	-	PIM94929.1			DNA polymerase III subunit epsilon	dnaQ		magsep_262	558	185	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	18057	18569	-							magsep_263	513		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	18057	18569	-	PIM94930.1			hypothetical protein			magsep_263	513	170	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	24496	24873	-					infC		magsep_264	378		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	24496	24873	-	PIM94931.1			Translation initiation factor IF-3	infC		magsep_264	378	125	
gene	protein_coding	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	25167	29225	-					rpoC		magsep_265	4059		
CDS	with_protein	GCA_002774935.1	Primary Assembly	unplaced scaffold		NXGN01000093.1	25167	29225	-	PIM94932.1			DNA-directed RNA polymerase subunit beta'	rpoC		magsep_265	4059	1352	
